timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,grpThreads,allThreads,Latency,IdleTime
1782687960151,13402,INSERT: memberdiagnosis,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),02 - INSERT Benchmark (50 threads x 120s) 2-5,false,172,50,101,0,0
1782687959970,14166,INSERT: labresult_neil_oltp,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),02 - INSERT Benchmark (50 threads x 120s) 2-11,false,172,50,101,0,0
1782687959769,14944,INSERT: labresult_neil_oltp,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),02 - INSERT Benchmark (50 threads x 120s) 2-10,false,172,50,101,0,0
1782687959568,15896,INSERT: memberdiagnosis,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),02 - INSERT Benchmark (50 threads x 120s) 2-6,false,172,50,101,0,0
1782687959565,16484,INSERT: labresult_neil_oltp,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),02 - INSERT Benchmark (50 threads x 120s) 2-9,false,172,50,101,0,0
1782687959366,17292,INSERT: labresult_neil_oltp,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),02 - INSERT Benchmark (50 threads x 120s) 2-8,false,172,50,101,0,0
1782687959159,18073,INSERT: labresult_neil_oltp,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),02 - INSERT Benchmark (50 threads x 120s) 2-7,false,172,50,101,0,0
1782687958984,18839,INSERT: memberdiagnosis,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),02 - INSERT Benchmark (50 threads x 120s) 2-1,false,172,50,101,0,0
1782687977233,1192,INSERT: memberdiagnosis,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),02 - INSERT Benchmark (50 threads x 120s) 2-7,false,172,50,101,0,0
1782687976661,2623,INSERT: memberdiagnosis,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),02 - INSERT Benchmark (50 threads x 120s) 2-8,false,172,50,101,0,0
1782687976051,4816,INSERT: memberdiagnosis,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),02 - INSERT Benchmark (50 threads x 120s) 2-9,false,172,50,101,0,0
1782687975465,5984,INSERT: labresult_neil_oltp,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),02 - INSERT Benchmark (50 threads x 120s) 2-6,false,172,50,101,0,0
